CAMPUS_ID|NEIGHBORHOOD|RESIDENCE_HALL
0578451|Central Campus|1911 Erwin
0579109|Crowell Quad|House EE
0578853|East Neighborhood 2|Aycock
0588490|East Neighborhood 1|Pegram
0578790|Keohane Quad|House 4D
0593193|Crowell Quad|House G
0589460|East Neighborhood 1|Bassett
0580955|Wannamaker Quad|Wannamaker
0579106|East Neighborhood 1|Bassett
0444024|Keohane Quad|House 4E
0580489|Wannamaker Quad|Wannamaker
0586766|East Neighborhood 2|Giles
0579213|East Neighborhood 1|Bassett
0590083|Edens Quad|House 1C
0585940|East Neighborhood 4|Blackwell
0606874|East Neighborhood 4|Randolph
0606965|East Neighborhood 3|Gilbert-Addoms
0606968|East Neighborhood 1|Alspaugh
0607052|East Neighborhood 4|Bell Tower
0607119|East Neighborhood 2|Giles
0607303|East Neighborhood 3|Gilbert-Addoms
0604996|East Neighborhood 1|Alspaugh
0605625|East Neighborhood 2|Wilson House
0605628|East Neighborhood 3|Southgate
0606180|East Neighborhood 4|Bell Tower
0606238|East Neighborhood 1|Pegram
0606267|East Neighborhood 1|Pegram
0606269|East Neighborhood 4|Randolph
0606328|East Neighborhood 4|Bell Tower
0606430|East Neighborhood 2|Wilson House
0606496|East Neighborhood 3|Gilbert-Addoms
0606557|East Neighborhood 1|Alspaugh
0606573|East Neighborhood 4|Bell Tower
0614594|East Neighborhood 1|Bassett
0615173|East Neighborhood 3|Southgate
0615302|East Neighborhood 1|Bassett
0616287|East Neighborhood 2|Jarvis
0614751|East Neighborhood 4|Randolph
0614775|East Neighborhood 1|Pegram
0616218|East Neighborhood 4|Randolph
0616752|East Neighborhood 1|Pegram
0617067|East Neighborhood 2|Giles
0618557|East Neighborhood 3|Gilbert-Addoms
0618629|East Neighborhood 1|Bassett
0619448|East Neighborhood 2|Giles
0621678|East Neighborhood 3|Gilbert-Addoms
0596877|East Neighborhood 1|Pegram
0606996|East Neighborhood 4|Randolph
0609402|East Neighborhood 3|Southgate
0609416|East Neighborhood 4|Blackwell
0609886|East Neighborhood 4|Blackwell
0606459|East Neighborhood 1|Alspaugh
0606472|East Neighborhood 4|Blackwell
0606526|East Neighborhood 1|Bassett
0606527|East Neighborhood 1|Brown
0606542|East Neighborhood 1|Bassett
0606549|East Neighborhood 4|Randolph
0606553|East Neighborhood 4|Randolph
0606569|East Neighborhood 3|Southgate
0606572|East Neighborhood 3|Gilbert-Addoms
0606574|East Neighborhood 3|Southgate
0606577|East Neighborhood 2|Jarvis
0606580|East Neighborhood 1|Alspaugh
0606584|East Neighborhood 4|Randolph
0606596|East Neighborhood 1|Brown
0606597|East Neighborhood 2|Wilson House
0606601|East Neighborhood 1|Bassett
0606615|East Neighborhood 4|Bell Tower
0606613|East Neighborhood 4|Bell Tower
0606770|East Neighborhood 1|Pegram
0606929|East Neighborhood 4|Bell Tower
0607205|East Neighborhood 3|Southgate
0607328|East Neighborhood 4|Randolph
0605219|East Neighborhood 2|Giles
0606368|East Neighborhood 3|Southgate
0606441|East Neighborhood 3|Southgate
0606458|East Neighborhood 3|Gilbert-Addoms
0606593|East Neighborhood 3|Southgate
0606758|East Neighborhood 1|Brown
0606775|East Neighborhood 2|Aycock
0606867|East Neighborhood 2|Wilson House
0606941|East Neighborhood 4|Blackwell
0606966|East Neighborhood 4|Bell Tower
0607116|East Neighborhood 2|Epworth
0607179|East Neighborhood 3|Gilbert-Addoms
0611540|East Neighborhood 1|Pegram
0617164|East Neighborhood 2|Aycock
0620938|East Neighborhood 1|Bassett
0609089|East Neighborhood 2|Wilson House
0609109|East Neighborhood 1|Alspaugh
0610085|East Neighborhood 2|Jarvis
0613714|East Neighborhood 1|Pegram
0616188|East Neighborhood 3|Gilbert-Addoms
0617251|East Neighborhood 4|Randolph
0619264|East Neighborhood 2|Jarvis
0541017|East Neighborhood 1|Pegram
0612062|East Neighborhood 1|Alspaugh
0612107|East Neighborhood 1|Alspaugh
0612125|East Neighborhood 1|Alspaugh
0606635|East Neighborhood 2|Jarvis
0606693|East Neighborhood 2|Aycock
0606698|East Neighborhood 1|Pegram
0606701|East Neighborhood 2|Giles
0606702|East Neighborhood 1|Bassett
0606703|East Neighborhood 2|Giles
0606727|East Neighborhood 3|Gilbert-Addoms
0606729|East Neighborhood 4|Blackwell
0606738|East Neighborhood 2|Wilson House
0606747|East Neighborhood 4|Bell Tower
0606752|East Neighborhood 1|Brown
0606778|East Neighborhood 4|Randolph
0606814|East Neighborhood 4|Bell Tower
0606850|East Neighborhood 4|Randolph
0606864|East Neighborhood 3|Southgate
0606256|East Neighborhood 3|Gilbert-Addoms
0606286|East Neighborhood 4|Randolph
0606326|East Neighborhood 3|Gilbert-Addoms
0606329|East Neighborhood 3|Gilbert-Addoms
0606450|East Neighborhood 4|Bell Tower
0606570|East Neighborhood 2|Wilson House
0606772|East Neighborhood 2|Aycock
0606979|East Neighborhood 3|Southgate
0606982|East Neighborhood 4|Bell Tower
0606988|East Neighborhood 1|Brown
0607127|East Neighborhood 4|Randolph
0607324|East Neighborhood 3|Gilbert-Addoms
0448442|East Neighborhood 4|Bell Tower
0448492|East Neighborhood 3|Southgate
0598460|East Neighborhood 4|Bell Tower
0605684|East Neighborhood 4|Randolph
0605805|East Neighborhood 4|Randolph
0615023|East Neighborhood 2|Wilson House
0615489|East Neighborhood 1|Brown
0616026|East Neighborhood 1|Pegram
0616050|East Neighborhood 1|Pegram
0616336|East Neighborhood 2|Jarvis
0617216|East Neighborhood 1|Pegram
0617947|East Neighborhood 3|Southgate
0609105|East Neighborhood 3|Gilbert-Addoms
0614331|East Neighborhood 3|Southgate
0614334|East Neighborhood 4|Blackwell
0614786|East Neighborhood 2|Wilson House
0614862|East Neighborhood 1|Pegram
0616037|East Neighborhood 4|Randolph
0616094|East Neighborhood 2|Aycock
0616097|East Neighborhood 4|Bell Tower
0616179|East Neighborhood 1|Brown
0616415|East Neighborhood 4|Randolph
0616441|East Neighborhood 1|Brown
0606869|East Neighborhood 4|Randolph
0606917|East Neighborhood 1|Alspaugh
0606918|East Neighborhood 1|Brown
0606925|East Neighborhood 2|Giles
0606926|East Neighborhood 1|Alspaugh
0606934|East Neighborhood 2|Giles
0606935|East Neighborhood 3|Gilbert-Addoms
0606952|East Neighborhood 4|Blackwell
0606956|East Neighborhood 4|Blackwell
0606963|East Neighborhood 4|Bell Tower
0606977|East Neighborhood 4|Bell Tower
0606991|East Neighborhood 3|Southgate
0607123|East Neighborhood 4|Randolph
0607124|East Neighborhood 4|Randolph
0607299|East Neighborhood 4|Blackwell
0606170|East Neighborhood 1|Alspaugh
0606266|East Neighborhood 1|Brown
0606281|East Neighborhood 2|Aycock
0606485|East Neighborhood 4|Blackwell
0606492|East Neighborhood 3|Gilbert-Addoms
0606586|East Neighborhood 1|Bassett
0606591|East Neighborhood 4|Blackwell
0606594|East Neighborhood 3|Gilbert-Addoms
0606598|East Neighborhood 2|Aycock
0606616|East Neighborhood 2|Jarvis
0606625|East Neighborhood 1|Pegram
0606637|East Neighborhood 1|Brown
0606707|East Neighborhood 4|Blackwell
0606722|East Neighborhood 4|Randolph
0606811|East Neighborhood 1|Pegram
0606845|East Neighborhood 3|Gilbert-Addoms
0606857|East Neighborhood 4|Bell Tower
0616608|East Neighborhood 2|Wilson House
0617006|East Neighborhood 4|Bell Tower
0619137|East Neighborhood 1|Brown
0620645|East Neighborhood 3|Gilbert-Addoms
0614745|East Neighborhood 2|Jarvis
0614801|East Neighborhood 3|Gilbert-Addoms
0614857|East Neighborhood 2|Wilson House
0615222|East Neighborhood 4|Randolph
0615427|East Neighborhood 1|Alspaugh
0616111|East Neighborhood 2|Jarvis
0617057|East Neighborhood 2|Giles
0617227|East Neighborhood 2|Wilson House
0619589|East Neighborhood 2|Wilson House
0619808|East Neighborhood 1|Bassett
0586354|East Neighborhood 1|Alspaugh
0607326|East Neighborhood 4|Randolph
0444052|East Neighborhood 4|Blackwell
0604362|East Neighborhood 4|Randolph
0605622|East Neighborhood 2|Giles
0605689|East Neighborhood 2|Aycock
