STU_CAMPUS_ID|ADV_CAMPUS_ID|DEAN_CAMPUS_ID
0553232|0204447|0056466
0591573|0095668|0203908
0580580|0326548|0203908
0582650|0547916|0203908
0580573|0537847|0203908
0582336|0230964|0203908
0583657|0319122|0203908
0580937|0446203|0203908
0580955|0266997|0203908
0409826|0266997|0203908
0590481|0443624|0112077
0583956|0409442|0203908
0596058|0028728|0203908
0582987|0117176|0203908
0580906|0266997|0203908
0591549|0296615|0203908
0586684|0095668|0203908
0514177|0085001|0203908
0514187|0266997|0203908
0591028|0084460|0203908
0579014|0326548|0203908
0589980|0084460|0203908
0578791|0096267|0203908
0590969|0084460|0203908
0577737|0326548|0203908
0589375|0095668|0203908
0589414|0537847|0203908
0578770|0009960|0203908
0578000|0024822|0203908
0578660|0547916|0203908
0583311|0266997|0203908
0578504|0446203|0203908
0586754|0009960|0203908
0578017|0326548|0203908
0588365|0312329|0203908
0589632|0266997|0203908
0579231|0266997|0203908
0578310|0230964|0203908
0578833|0095668|0203908
0589245|0326548|0203908
0578803|0446203|0203908
0578006|0271056|0203908
0592290|0009960|0203908
0587477|0095668|0203908
0590858|0537847|0203908
0578277|0266997|0203908
0577730|0446203|0203908
0589286|0446203|0203908
0585965|0084460|0203908
0590742|0113725|0203908
0589808|0312329|0203908
0588717|0096670|0203908
0596803|0204447|0203908
0588094|0547916|0203908
0588665|0446184|0203908
0590125|0382781|0203908
0591185|0009960|0203908
0579116|0113725|0203908
0588600|0085001|0203908
0580802|0095668|0203908
0589860|0312329|0203908
0592748|0537847|0203908
0579222|0564671|0203908
0582516||0203908
0591107|0566344|0203908
0578297|0097842|0203908
0586727|0084460|0203908
0580867|0024822|0203908
0588627|0569781|0203908
0578634|0312329|0203908
0587400|0009960|0203908
0578049|0542545|0203908
0578669|0113725|0203908
0591001|0026322|0203908
0588139|0009960|0203908
0584779|0266997|0203908
0590767|0443624|0112077
0588720|0383868|0203908
0584096|0216521|0203908
0587094|0113725|0203908
0593562|0230964|0203908
0582248|0266997|0203908
0577993|0566344|0203908
0586594|0117870|0203908
0578965|0097842|0203908
0589275|0283482|0384965
0576112|0084460|0203908
0578325|0221412|0203908
0566608|0537847|0203908
0589607|0406642|0203908
0587595|0542545|0203908
0587609|0266997|0203908
0577985|0326548|0203908
0582603|0547916|0203908
0577449|0024822|0203908
0596389|0204447|0203908
0578814|0542545|0203908
0539424|0268226|0112077
0589897|0296615|0203908
0588983|0096670|0203908
0577734|0319122|0203908
0579094|0446203|0203908
0587075|0383868|0203908
0579017|0216521|0203908
0590874|0537847|0203908
0590297|0446203|0203908
0589846|0095668|0203908
0591340|0446203|0203908
0589277|0113725|0203908
0577862|0266997|0203908
0587068|0564671|0203908
0582475|0542526|0203908
