CAMPUS_ID|NEIGHBORHOOD|RESIDENCE HALL
1931778|Crowell Quad|House EE
1963750|Wannamaker Quad|Wannamaker
1943299|Few Quad|House HH
1935396|Edens Quad|House 2C
1948549|Central Campus|1708 Pace
1928855|Crowell Quad|House H
1921699|Crowell Quad|House CC
1946372|Central Campus|1400 Faber
1922948|Craven Quad|House Y
1955708|Central Campus|205 Oregon
1931960|Central Campus|201 Alexander
1940876|Wannamaker Quad|Wannamaker
1950616|Craven Quad|House C
1950192|Edens Quad|House 3B
1928775|East Neighborhood 4|Blackwell
1925925|Edens Quad|House 1A
1927069|Central Campus|1911 Erwin
1943244|Edens Quad|House 3A
1954470|Few Quad|House HH
1942939|Central Campus|312 Anderson
1938053|Few Quad|House HH
1652393|Kilgo Quad|House K
1822721|Central Campus|312 Anderson
1845601|Kilgo Quad|House L
1746241|Edens Quad|House 1C
1842024|Few Quad|House HH
1842630|East Neighborhood 3|Southgate
1840754|Craven Quad|House X
1823536|Few Quad|House FF
1767786|Central Campus|215 Anderson
1755625|Edens Quad|House 1A
1843404|Central Campus|215 Anderson
1845514|Crowell Quad|House G
1871541|Keohane Quad|House 4B
1868430|Edens Quad|House 3B
1868295|Few Quad|House FF
1865706|Crowell Quad|House H
1866857|Edens Quad|House 3B
1693841|Few Quad|House FF
1867614|Crowell Quad|House CC
1870957|Central Campus|314 Anderson
1892870|Central Campus|2011 Yearby
1871930|Central Campus|302 Anderson
1877036|Kilgo Quad|House P
1886955|Few Quad|House GG
1778685|Kilgo Quad|House K
1854786|Craven Quad|House X
1868124|Crowell Quad|House BB
1884049|Few Quad|House FF
1884676|Keohane Quad|House 4D
1787702|Central Campus|1708 Pace
1867170|Kilgo Quad|House M
1869883|Central Campus|314 Anderson
1879387|Craven Quad|House D
1885377|Edens Quad|House 3A
1885493|Central Campus|312 Anderson
1887700|Kilgo Quad|House N
1891452|Few Quad|House HH
1893754|Craven Quad|House VO
1894003|Keohane Quad|House 4B
1894640|Few Quad|House HH
1898111|Crowell Quad|House CC
1926112|Central Campus|1915 Erwin
1926572|Keohane Quad|House 4B
1518716|Central Campus|209 Anderson
1921311|Central Campus|314 Anderson
1922574|Edens Quad|House 1A
1922631|East Neighborhood 3|Southgate
1922757|Wannamaker Quad|Wannamaker
1922860|Central Campus|220 Alexander
1923797|Few Quad|House HH
1920854|Central Campus|301 Oregon
1921320|Crowell Quad|House EE
1922472|Edens Quad|House 1A
1922778|Central Campus|1914 Lewis
1923430|Central Campus|312 Anderson
1924795|Crowell Quad|House DD
1922870|Edens Quad|House 1B
1923397|Crowell Quad|House G
1920503|Few Quad|House GG
1922266|Crowell Quad|House CC
1922887|Craven Quad|House Y
1924682|Kilgo Quad|House L
1919238|Kilgo Quad|House J
1960815|Kilgo Quad|House I
1925366|Central Campus|2011 Yearby
1926092|Craven Quad|House W
1956425|Edens Quad|House 1C
1931853|Keohane Quad|House 4E
1950055|Keohane Quad|House 4B
1935689|Craven Quad|House VO
1950828|Central Campus|201 Alexander
1940525|Edens Quad|House 2C
1940618|Central Campus|206 Oregon
1950872|Kilgo Quad|House J
1959302|Central Campus|1911 Erwin
1938084|Keohane Quad|House 4A
1924657|Central Campus|312 Anderson
1918052|Keohane Quad|House 4B
1921892|Central Campus|312 Anderson
1924796|Central Campus|312 Anderson
1919517|Central Campus|221 Anderson
1946207|Central Campus|1911 Erwin
1955766|Crowell Quad|House BB
1871574|Central Campus|1914 Lewis
1868051|Central Campus|1708 Pace
1779678|East Neighborhood 1|Pegram
1781250|Keohane Quad|House 4E
1866729|Craven Quad|House S
1866244|Edens Quad|House 1A
1871209|Edens Quad|House 2C
1868678|Few Quad|House GG
1868706|Keohane Quad|House 4E
1868551|Kilgo Quad|House N
1867637|Edens Quad|House 2C
1767990|Few Quad|House GG
1868017|Few Quad|House FF
1521134|Craven Quad|House Z
1868292|Wannamaker Quad|Wannamaker
1871238|Few Quad|House GG
1871728|Crowell Quad|House H
1768004|East Neighborhood 4|Blackwell
1867974|Keohane Quad|House 4E
1865853|Crowell Quad|House G
1866875|Crowell Quad|House H
1901319|Few Quad|House HH
1901557|Kilgo Quad|House M
1898014|Kilgo Quad|House O
1874942|Central Campus|312 Anderson
1881117|Keohane Quad|House 4B
1879125|Kilgo Quad|House P
1879005|Keohane Quad|House 4D
1913108|Central Campus|220 Alexander
1895466|Keohane Quad|House 4E
1884491|Edens Quad|House 3B
1882805|Keohane Quad|House 4D
1898471|Central Campus|314 Anderson
1875479|Keohane Quad|House 4E
1879695|Kilgo Quad|House M
1894172|Central Campus|201 Alexander
1893486|Kilgo Quad|House M
1885187|Edens Quad|House 2C
1891168|Central Campus|1911 Yearby
1899749|Edens Quad|House 2A
1886389|Edens Quad|House 3B
1765529|Few Quad|House GG
1924957|Edens Quad|House 3A
1926373|Crowell Quad|House H
1926390|Central Campus|1712 Pace
1919520|Keohane Quad|House 4B
1922451|Central Campus|215 Anderson
1786396|Craven Quad|House E
1921238|Central Campus|202 Alexander
1922645|Edens Quad|House 2C
1922603|Central Campus|302 Oregon
1919617|Edens Quad|House 2A
1922093|Edens Quad|House 2C
1922141|Edens Quad|House 2A
1922573|Edens Quad|House 2A
1922770|Edens Quad|House 2C
1923443|Central Campus|301 Oregon
1923472|Few Quad|House HH
1923484|Central Campus|1809 Erwin
1923592|Central Campus|1708 Pace
1924961|Crowell Quad|House G
1922277|Keohane Quad|House 4A
1923088|Keohane Quad|House 4A
1933427|Crowell Quad|House G
1937127|Keohane Quad|House 4B
1945401|East Neighborhood 3|Southgate
1951227|Keohane Quad|House 4A
1958746|Central Campus|2015 Yearby
1933677|Kilgo Quad|House J
1933894|Central Campus|2015 Yearby
1932721|Edens Quad|House 2A
1933290|Central Campus|202 Alexander
1945770|Keohane Quad|House 4A
1951386|Central Campus|1712 Pace
1952461|Few Quad|House HH
1957752|Wannamaker Quad|Wannamaker
1953685|Wannamaker Quad|Wannamaker
1758886|Central Campus|312 Anderson
1943830|Few Quad|House HH
1942655|Edens Quad|House 1C
1954361|Keohane Quad|House 4A
1960152|Central Campus|220 Alexander
1935651|Edens Quad|House 1B
1935896|Few Quad|House HH
1871876|Kilgo Quad|House P
1866212|Central Campus|1907 Erwin
1866263|Keohane Quad|House 4E
1866848|Kilgo Quad|House P
1867549|Keohane Quad|House 4B
1867595|Crowell Quad|House H
1868448|Wannamaker Quad|Wannamaker
1871801|Crowell Quad|House BB
1867587|Edens Quad|House 1A
1868337|Edens Quad|House 2A
1760872|Few Quad|House GG
1868354|Central Campus|215 Alexander
1871222|Few Quad|House HH
1675879|Kilgo Quad|House M
1867293|Few Quad|House FF
1867223|Keohane Quad|House 4D
1871004|Kilgo Quad|House P
